Summary,Contract ID,Customer ID,Vehicle ID,Product ID
"Contract C0023 for 1005 leasing Vehicle V1074 under Product P1005 with a monthly EMI of €68362.27. Lease runs from 2023-01-15 to 2027-01-15. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0023,1005,V1074,P1005
"Contract C0024 for 1016 leasing Vehicle V1036 under Product P1004 with a monthly EMI of €398.84. Lease runs from 2023-06-08 to 2024-06-08. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0024,1016,V1036,P1004
"Contract C0025 for 1005 leasing Vehicle V1065 under Product P1016 with a monthly EMI of €50628.94. Lease runs from 2024-05-10 to 2026-05-10. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0025,1005,V1065,P1016
"Contract C0026 for 1015 leasing Vehicle V1035 under Product P1012 with a monthly EMI of €938.46. Lease runs from 2023-12-12 to 2024-12-12. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0026,1015,V1035,P1012
"Contract C0027 for 1011 leasing Vehicle V1057 under Product P1014 with a monthly EMI of €741.23. Lease runs from 2023-03-21 to 2024-03-21. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0027,1011,V1057,P1014
"Contract C0028 for 1016 leasing Vehicle V1061 under Product P1012 with a monthly EMI of €878.14. Lease runs from 2022-11-26 to 2023-11-26. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0028,1016,V1061,P1012
"Contract C0029 for 1004 leasing Vehicle V1000 under Product P1004 with a monthly EMI of €845.9. Lease runs from 2025-04-02 to 2026-04-02. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0029,1004,V1000,P1004
"Contract C0030 for 1006 leasing Vehicle V1064 under Product P1009 with a monthly EMI of €62443.05. Lease runs from 2023-06-11 to 2027-06-11. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0030,1006,V1064,P1009
"Contract C0031 for 1015 leasing Vehicle V1025 under Product P1007 with a monthly EMI of €58506.7. Lease runs from 2024-08-02 to 2028-08-02. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0031,1015,V1025,P1007
"Contract C0032 for 1001 leasing Vehicle V1066 under Product P1007 with a monthly EMI of €63419.17. Lease runs from 2023-08-09 to 2027-08-09. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0032,1001,V1066,P1007
"Contract C0033 for 1006 leasing Vehicle V1020 under Product P1016 with a monthly EMI of €34764.72. Lease runs from 2025-01-01 to 2027-01-01. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0033,1006,V1020,P1016
"Contract C0034 for 1012 leasing Vehicle V1063 under Product P1015 with a monthly EMI of €39859.15. Lease runs from 2023-05-12 to 2027-05-12. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0034,1012,V1063,P1015
"Contract C0035 for 1003 leasing Vehicle V1063 under Product P1004 with a monthly EMI of €557.83. Lease runs from 2024-10-03 to 2025-10-03. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0035,1003,V1063,P1004
"Contract C0036 for 1008 leasing Vehicle V1067 under Product P1003 with a monthly EMI of €63930.81. Lease runs from 2022-11-23 to 2024-11-23. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0036,1008,V1067,P1003
"Contract C0037 for 1017 leasing Vehicle V1054 under Product P1006 with a monthly EMI of €46556.79. Lease runs from 2024-09-12 to 2026-09-12. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0037,1017,V1054,P1006
"Contract C0038 for 1019 leasing Vehicle V1076 under Product P1006 with a monthly EMI of €72230.28. Lease runs from 2023-02-14 to 2025-02-14. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0038,1019,V1076,P1006
"Contract C0039 for 1003 leasing Vehicle V1051 under Product P1015 with a monthly EMI of €52480.07. Lease runs from 2024-12-18 to 2028-12-18. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0039,1003,V1051,P1015
"Contract C0040 for 1013 leasing Vehicle V1036 under Product P1019 with a monthly EMI of €27544.87. Lease runs from 2025-02-05 to 2027-02-05. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0040,1013,V1036,P1019
"Contract C0041 for 1009 leasing Vehicle V1030 under Product P1013 with a monthly EMI of €1037.61. Lease runs from 2025-02-05 to 2026-02-05. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0041,1009,V1030,P1013
"Contract C0042 for 1009 leasing Vehicle V1039 under Product P1007 with a monthly EMI of €54272.92. Lease runs from 2023-05-04 to 2027-05-04. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0042,1009,V1039,P1007
"Contract C0043 for 1004 leasing Vehicle V1041 under Product P1007 with a monthly EMI of €74391.31. Lease runs from 2024-08-29 to 2028-08-29. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0043,1004,V1041,P1007
"Contract C0044 for 1017 leasing Vehicle V1050 under Product P1017 with a monthly EMI of €67394.23. Lease runs from 2023-08-07 to 2027-08-07. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0044,1017,V1050,P1017
"Contract C0045 for 1012 leasing Vehicle V1056 under Product P1009 with a monthly EMI of €42031.93. Lease runs from 2022-12-08 to 2026-12-08. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0045,1012,V1056,P1009
"Contract C0046 for 1009 leasing Vehicle V1068 under Product P1016 with a monthly EMI of €55712.87. Lease runs from 2024-06-16 to 2026-06-16. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0046,1009,V1068,P1016
"Contract C0047 for 1007 leasing Vehicle V1058 under Product P1009 with a monthly EMI of €29295.36. Lease runs from 2023-04-20 to 2027-04-20. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No.",C0047,1007,V1058,P1009
"Contract C0048 for 1009 leasing Vehicle V1015 under Product P1019 with a monthly EMI of €29012.59. Lease runs from 2024-01-17 to 2026-01-17. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0048,1009,V1015,P1019
"Contract C0049 for 1001 leasing Vehicle V1026 under Product P1001 with a monthly EMI of €53682.23. Lease runs from 2023-11-28 to 2025-11-28. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0049,1001,V1026,P1001
"Contract C0050 for 1009 leasing Vehicle V1027 under Product P1005 with a monthly EMI of €65845.83. Lease runs from 2024-12-13 to 2028-12-13. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0050,1009,V1027,P1005
"Contract C0051 for 1018 leasing Vehicle V1037 under Product P1004 with a monthly EMI of €712.73. Lease runs from 2023-09-02 to 2024-09-02. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0051,1018,V1037,P1004
"Contract C0052 for 1012 leasing Vehicle V1067 under Product P1014 with a monthly EMI of €944.24. Lease runs from 2025-07-18 to 2026-07-18. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0052,1012,V1067,P1014
"Contract C0053 for 1015 leasing Vehicle V1077 under Product P1003 with a monthly EMI of €63871.36. Lease runs from 2025-06-21 to 2027-06-21. Road Assistance: Yes, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0053,1015,V1077,P1003
"Contract C0054 for 1003 leasing Vehicle V1062 under Product P1003 with a monthly EMI of €61234.37. Lease runs from 2024-08-15 to 2026-08-15. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0054,1003,V1062,P1003
"Contract C0055 for 1004 leasing Vehicle V1020 under Product P1001 with a monthly EMI of €34159.11. Lease runs from 2025-03-25 to 2027-03-25. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0055,1004,V1020,P1001
"Contract C0056 for 1002 leasing Vehicle V1015 under Product P1014 with a monthly EMI of €406.8. Lease runs from 2022-09-09 to 2023-09-09. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0056,1002,V1015,P1014
"Contract C0057 for 1003 leasing Vehicle V1005 under Product P1000 with a monthly EMI of €78980.17. Lease runs from 2024-08-06 to 2027-08-06. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0057,1003,V1005,P1000
"Contract C0058 for 1005 leasing Vehicle V1013 under Product P1006 with a monthly EMI of €50293.83. Lease runs from 2023-03-27 to 2025-03-27. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0058,1005,V1013,P1006
"Contract C0059 for 1018 leasing Vehicle V1002 under Product P1000 with a monthly EMI of €26812.0. Lease runs from 2023-12-16 to 2026-12-16. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0059,1018,V1002,P1000
"Contract C0060 for 1011 leasing Vehicle V1053 under Product P1006 with a monthly EMI of €23603.12. Lease runs from 2024-08-10 to 2026-08-10. Road Assistance: Yes, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0060,1011,V1053,P1006
"Contract C0061 for 1002 leasing Vehicle V1033 under Product P1010 with a monthly EMI of €820.5. Lease runs from 2023-01-12 to 2024-01-12. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0061,1002,V1033,P1010
"Contract C0062 for 1005 leasing Vehicle V1021 under Product P1007 with a monthly EMI of €49953.31. Lease runs from 2023-12-20 to 2027-12-20. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0062,1005,V1021,P1007
"Contract C0063 for 1019 leasing Vehicle V1048 under Product P1003 with a monthly EMI of €40424.04. Lease runs from 2023-03-15 to 2025-03-15. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0063,1019,V1048,P1003
"Contract C0064 for 1016 leasing Vehicle V1059 under Product P1018 with a monthly EMI of €54120.96. Lease runs from 2024-08-12 to 2028-08-12. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0064,1016,V1059,P1018
"Contract C0065 for 1012 leasing Vehicle V1011 under Product P1003 with a monthly EMI of €55474.57. Lease runs from 2024-07-11 to 2026-07-11. Road Assistance: Yes, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0065,1012,V1011,P1003
"Contract C0066 for 1010 leasing Vehicle V1001 under Product P1015 with a monthly EMI of €41035.79. Lease runs from 2024-10-14 to 2028-10-14. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0066,1010,V1001,P1015
"Contract C0067 for 1001 leasing Vehicle V1050 under Product P1003 with a monthly EMI of €64829.93. Lease runs from 2022-11-06 to 2024-11-06. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0067,1001,V1050,P1003
"Contract C0068 for 1013 leasing Vehicle V1030 under Product P1012 with a monthly EMI of €996.65. Lease runs from 2022-09-26 to 2023-09-26. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0068,1013,V1030,P1012
"Contract C0069 for 1017 leasing Vehicle V1016 under Product P1017 with a monthly EMI of €71481.67. Lease runs from 2024-08-09 to 2028-08-09. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0069,1017,V1016,P1017
"Contract C0070 for 1004 leasing Vehicle V1016 under Product P1015 with a monthly EMI of €67693.01. Lease runs from 2023-02-19 to 2027-02-19. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0070,1004,V1016,P1015
"Contract C0071 for 1006 leasing Vehicle V1026 under Product P1018 with a monthly EMI of €53565.9. Lease runs from 2023-09-10 to 2027-09-10. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0071,1006,V1026,P1018
"Contract C0072 for 1019 leasing Vehicle V1059 under Product P1014 with a monthly EMI of €785.84. Lease runs from 2025-02-22 to 2026-02-22. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0072,1019,V1059,P1014
"Contract C0073 for 1016 leasing Vehicle V1059 under Product P1009 with a monthly EMI of €51738.25. Lease runs from 2024-11-05 to 2028-11-05. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0073,1016,V1059,P1009
"Contract C0074 for 1012 leasing Vehicle V1008 under Product P1002 with a monthly EMI of €33548.34. Lease runs from 2024-09-23 to 2027-09-23. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0074,1012,V1008,P1002
"Contract C0075 for 1002 leasing Vehicle V1000 under Product P1008 with a monthly EMI of €55704.95. Lease runs from 2022-10-28 to 2024-10-28. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0075,1002,V1000,P1008
"Contract C0076 for 1001 leasing Vehicle V1059 under Product P1013 with a monthly EMI of €786.89. Lease runs from 2024-04-01 to 2025-04-01. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0076,1001,V1059,P1013
"Contract C0077 for 1020 leasing Vehicle V1007 under Product P1008 with a monthly EMI of €65673.32. Lease runs from 2023-10-17 to 2025-10-17. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0077,1020,V1007,P1008
"Contract C0078 for 1007 leasing Vehicle V1065 under Product P1007 with a monthly EMI of €52090.11. Lease runs from 2023-06-07 to 2027-06-07. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0078,1007,V1065,P1007
"Contract C0079 for 1011 leasing Vehicle V1063 under Product P1006 with a monthly EMI of €37764.69. Lease runs from 2025-05-23 to 2027-05-23. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0079,1011,V1063,P1006
"Contract C0080 for 1008 leasing Vehicle V1048 under Product P1007 with a monthly EMI of €41924.35. Lease runs from 2024-03-18 to 2028-03-18. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0080,1008,V1048,P1007
"Contract C0081 for 1012 leasing Vehicle V1051 under Product P1005 with a monthly EMI of €51668.28. Lease runs from 2022-12-09 to 2026-12-09. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0081,1012,V1051,P1005
"Contract C0082 for 1007 leasing Vehicle V1043 under Product P1010 with a monthly EMI of €344.59. Lease runs from 2025-08-19 to 2026-08-19. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0082,1007,V1043,P1010
"Contract C0083 for 1016 leasing Vehicle V1032 under Product P1015 with a monthly EMI of €58478.32. Lease runs from 2023-01-15 to 2027-01-15. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0083,1016,V1032,P1015
"Contract C0084 for 1007 leasing Vehicle V1065 under Product P1014 with a monthly EMI of €809.87. Lease runs from 2023-07-09 to 2024-07-09. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0084,1007,V1065,P1014
"Contract C0085 for 1008 leasing Vehicle V1052 under Product P1017 with a monthly EMI of €55873.29. Lease runs from 2023-07-16 to 2027-07-16. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0085,1008,V1052,P1017
"Contract C0086 for 1006 leasing Vehicle V1073 under Product P1006 with a monthly EMI of €58538.29. Lease runs from 2024-12-21 to 2026-12-21. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0086,1006,V1073,P1006
"Contract C0087 for 1009 leasing Vehicle V1041 under Product P1015 with a monthly EMI of €74028.5. Lease runs from 2025-05-11 to 2029-05-11. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0087,1009,V1041,P1015
"Contract C0088 for 1016 leasing Vehicle V1055 under Product P1004 with a monthly EMI of €360.33. Lease runs from 2025-05-23 to 2026-05-23. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0088,1016,V1055,P1004
"Contract C0089 for 1011 leasing Vehicle V1078 under Product P1009 with a monthly EMI of €59456.74. Lease runs from 2025-05-18 to 2029-05-18. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0089,1011,V1078,P1009
"Contract C0090 for 1015 leasing Vehicle V1068 under Product P1001 with a monthly EMI of €53652.05. Lease runs from 2024-03-30 to 2026-03-30. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0090,1015,V1068,P1001
"Contract C0091 for 1008 leasing Vehicle V1021 under Product P1009 with a monthly EMI of €52531.19. Lease runs from 2022-12-19 to 2026-12-19. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0091,1008,V1021,P1009
"Contract C0092 for 1008 leasing Vehicle V1065 under Product P1017 with a monthly EMI of €54067.4. Lease runs from 2025-03-16 to 2029-03-16. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0092,1008,V1065,P1017
"Contract C0093 for 1003 leasing Vehicle V1016 under Product P1007 with a monthly EMI of €69713.3. Lease runs from 2023-11-22 to 2027-11-22. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0093,1003,V1016,P1007
"Contract C0094 for 1010 leasing Vehicle V1074 under Product P1004 with a monthly EMI of €1059.68. Lease runs from 2024-12-31 to 2025-12-31. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0094,1010,V1074,P1004
"Contract C0095 for 1006 leasing Vehicle V1024 under Product P1006 with a monthly EMI of €50283.28. Lease runs from 2024-07-01 to 2026-07-01. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0095,1006,V1024,P1006
"Contract C0096 for 1004 leasing Vehicle V1056 under Product P1000 with a monthly EMI of €47769.14. Lease runs from 2023-10-22 to 2026-10-22. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0096,1004,V1056,P1000
"Contract C0097 for 1001 leasing Vehicle V1044 under Product P1019 with a monthly EMI of €27505.96. Lease runs from 2025-07-18 to 2027-07-18. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0097,1001,V1044,P1019
"Contract C0098 for 1018 leasing Vehicle V1013 under Product P1010 with a monthly EMI of €728.8. Lease runs from 2023-01-15 to 2024-01-15. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0098,1018,V1013,P1010
"Contract C0099 for 1014 leasing Vehicle V1046 under Product P1000 with a monthly EMI of €27300.97. Lease runs from 2023-10-30 to 2026-10-30. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0099,1014,V1046,P1000
"Contract C0100 for 1010 leasing Vehicle V1076 under Product P1011 with a monthly EMI of €71259.47. Lease runs from 2023-05-23 to 2027-05-23. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0100,1010,V1076,P1011
"Contract C0101 for 1011 leasing Vehicle V1017 under Product P1005 with a monthly EMI of €67213.81. Lease runs from 2025-02-15 to 2029-02-15. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0101,1011,V1017,P1005
"Contract C0102 for 1017 leasing Vehicle V1057 under Product P1002 with a monthly EMI of €54788.25. Lease runs from 2024-04-08 to 2027-04-08. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0102,1017,V1057,P1002
"Contract C0103 for 1014 leasing Vehicle V1069 under Product P1019 with a monthly EMI of €53409.67. Lease runs from 2025-05-13 to 2027-05-13. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0103,1014,V1069,P1019
"Contract C0104 for 1012 leasing Vehicle V1012 under Product P1011 with a monthly EMI of €56129.45. Lease runs from 2023-04-13 to 2027-04-13. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0104,1012,V1012,P1011
"Contract C0105 for 1006 leasing Vehicle V1046 under Product P1004 with a monthly EMI of €357.9. Lease runs from 2023-08-17 to 2024-08-17. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0105,1006,V1046,P1004
"Contract C0106 for 1009 leasing Vehicle V1037 under Product P1018 with a monthly EMI of €48207.23. Lease runs from 2025-04-30 to 2029-04-30. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0106,1009,V1037,P1018
"Contract C0107 for 1008 leasing Vehicle V1015 under Product P1004 with a monthly EMI of €437.37. Lease runs from 2025-04-02 to 2026-04-02. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0107,1008,V1015,P1004
"Contract C0108 for 1002 leasing Vehicle V1073 under Product P1007 with a monthly EMI of €58469.93. Lease runs from 2024-11-10 to 2028-11-10. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0108,1002,V1073,P1007
"Contract C0109 for 1005 leasing Vehicle V1018 under Product P1013 with a monthly EMI of €613.18. Lease runs from 2025-03-02 to 2026-03-02. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes.",C0109,1005,V1018,P1013
"Contract C0110 for 1001 leasing Vehicle V1006 under Product P1010 with a monthly EMI of €883.26. Lease runs from 2023-06-26 to 2024-06-26. Road Assistance: No, Maintenance: Yes, Discount Applied: Yes, Preferred Customer: Yes.",C0110,1001,V1006,P1010
